fecha 	 low 	 open 	 close 	 high 	 highpoint 	 lowpoint 	 ema short 	 ema mid 	 signal 	 shorttrend 	 midtrend 	 longtrend 	 action 
19/10/2001	0,82	0,82	0,82	0,82	0,8625	1,0798	-0,3483	false	false	null	null	DOWNTREND	0
22/10/2001	0,82	0,82	0,82	0,82	0,8572	1,0696	-0,3049	false	false	null	null	DOWNTREND	0
23/10/2001	0,82	0,82	0,82	0,82	0,8525	1,0598	-0,2669	true	false	null	null	DOWNTREND	0
24/10/2001	0,78	0,8	0,8	0,8	0,846	1,0496	-0,2751	false	false	null	null	DOWNTREND	0
25/10/2001	0,78	0,8	0,8	0,8	0,8402	1,0399	-0,2823	false	true	null	null	DOWNTREND	0
26/10/2001	0,79	0,8	0,8	0,8	0,8352	1,0304	-0,2886	false	false	null	null	DOWNTREND	0
29/10/2001	0,74	0,75	0,75	0,8	0,8245	1,0194	-0,3564	false	true	null	null	DOWNTREND	0
30/10/2001	0,75	0,75	0,75	0,75	0,8152	1,0089	-0,4156	false	false	null	null	DOWNTREND	0
31/10/2001	0,75	0,75	0,75	0,77	0,8071	0,9987	-0,4673	true	false	null	null	DOWNTREND	0
01/11/2001	0,71	0,71	0,71	0,73	0,7949	0,9874	-0,4918	false	false	null	null	DOWNTREND	0
02/11/2001	0,71	0,71	0,71	0,71	0,7843	0,9765	-0,5132	false	true	null	null	DOWNTREND	0
05/11/2001	0,74	0,74	0,74	0,74	0,7788	0,9673	-0,4701	false	false	null	null	DOWNTREND	0
06/11/2001	0,74	0,74	0,74	0,74	0,7739	0,9583	-0,3495	false	false	null	null	DOWNTREND	0
07/11/2001	0,74	0,76	0,76	0,76	0,7722	0,9506	-0,202	false	false	null	null	DOWNTREND	0
08/11/2001	0,76	0,77	0,77	0,77	0,7719	0,9435	-0,1014	false	false	null	null	DOWNTREND	0
09/11/2001	0,77	0,77	0,77	0,77	0,7717	0,9367	-0,0376	true	false	null	null	DOWNTREND	0
