Date,Open,High,Low,Close,Volume,Adj Close
2010-08-11,4.70,4.70,4.60,4.64,283500,4.09
2010-08-10,4.83,4.89,4.75,4.81,139900,4.24
2010-08-09,4.76,4.83,4.72,4.83,127500,4.26
2010-08-06,4.67,4.76,4.62,4.76,172800,4.20
2010-08-05,4.65,4.72,4.62,4.69,69300,4.14
2010-08-04,4.58,4.65,4.47,4.65,263500,4.10
2010-08-03,4.53,4.55,4.35,4.53,355600,3.99
2010-08-02,4.37,4.37,4.30,4.35,249200,3.84
2010-07-30,4.36,4.37,4.36,4.37,24600,3.85
2010-07-29,4.30,4.35,4.30,4.35,11000,3.84
2010-07-28,4.35,4.35,4.25,4.26,44300,3.76
2010-07-27,4.33,4.37,4.33,4.37,214300,3.85
2010-07-26,4.29,4.35,4.27,4.35,44300,3.84
2010-07-23,4.30,4.32,4.30,4.32,10900,3.81
2010-07-22,4.30,4.32,4.28,4.28,38000,3.77
2010-07-21,4.33,4.34,4.22,4.22,86200,3.72
2010-07-20,4.22,4.33,4.20,4.33,44900,3.82
2010-07-19,4.15,4.22,4.15,4.22,10600,3.72
2010-07-16,4.20,4.23,4.20,4.22,20700,3.72
2010-07-15,4.20,4.23,4.20,4.23,15200,3.73
2010-07-14,4.28,4.28,4.26,4.27,16900,3.77
2010-07-13,4.28,4.30,4.27,4.30,123600,3.79
2010-07-12,4.38,4.38,4.30,4.33,21800,3.82
2010-07-09,4.38,4.38,4.38,4.38,000,3.86
2010-07-08,4.31,4.38,4.30,4.38,11600,3.86
2010-07-07,4.23,4.31,4.23,4.31,41900,3.80
2010-07-06,4.15,4.25,4.15,4.23,5800,3.73
2010-07-05,4.15,4.15,4.15,4.15,500,3.66
2010-07-02,4.18,4.18,4.14,4.15,12600,3.66
2010-07-01,4.15,4.15,4.06,4.12,107400,3.63
2010-06-30,4.10,4.25,4.10,4.21,13400,3.71
2010-06-29,4.32,4.32,4.32,4.32,000,3.81
2010-06-28,4.32,4.34,4.32,4.32,13700,3.81
2010-06-25,4.27,4.27,4.27,4.27,000,3.77
2010-06-24,4.25,4.27,4.25,4.27,25500,3.77
2010-06-23,4.25,4.26,4.20,4.25,28200,3.75
2010-06-22,4.25,4.25,4.10,4.25,185800,3.75
2010-06-21,4.25,4.25,4.25,4.25,000,3.75
2010-06-18,4.22,4.25,4.20,4.25,86400,3.75
2010-06-17,4.35,4.35,4.24,4.27,56900,3.77
2010-06-16,4.33,4.39,4.33,4.38,35100,3.86
2010-06-15,4.35,4.35,4.34,4.35,11000,3.84
2010-06-14,4.36,4.40,4.32,4.32,19500,3.81
2010-06-11,4.34,4.38,4.30,4.31,48900,3.80
2010-06-10,4.70,4.70,4.40,4.41,46200,3.89
2010-06-09,4.40,4.47,4.37,4.37,37700,3.85
2010-06-08,4.30,4.35,4.30,4.31,8500,3.80
2010-06-07,4.29,4.29,4.27,4.28,7600,3.77
2010-06-04,4.31,4.31,4.28,4.28,14200,3.77
2010-06-03,4.49,4.49,4.49,4.49,000,3.96
2010-06-02,4.49,4.55,4.30,4.49,41000,3.96
2010-06-01,4.42,4.42,4.35,4.35,11600,3.84
2010-05-31,4.49,4.55,4.30,4.49,41000,3.96
2010-05-28,4.35,4.35,4.30,4.30,39500,3.79
2010-05-27,4.30,4.40,4.25,4.35,99600,3.84
2010-05-26,4.35,4.35,4.26,4.26,20600,3.76
2010-05-25,4.35,4.35,4.35,4.35,000,3.84
2010-05-24,4.35,4.35,4.35,4.35,000,3.84
2010-05-21,4.40,4.40,4.30,4.35,21900,3.84
2010-05-20,4.60,4.60,4.21,4.30,40000,3.79
2010-05-19,4.70,4.70,4.55,4.56,180900,4.02
2010-05-18,4.80,4.80,4.74,4.74,49900,4.18
2010-05-17,4.70,4.77,4.63,4.70,36900,4.14
2010-05-14,4.75,4.77,4.60,4.63,134000,4.08
2010-05-13,4.90,4.90,4.79,4.81,108100,4.24
2010-05-12,4.91,4.95,4.81,4.85,11300,4.28
2010-05-11,4.84,4.88,4.84,4.87,20000,4.29
